GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,Total; families with children under 18 ,Percent below poverty level; families with children under 18 
1400000US36047033600,36047033600,336,962,7.9,468,12.4
1400000US36047033700,36047033700,337,792,13.9,515,17.7
1400000US36047033900,36047033900,339,879,20.3,484,32.2
1400000US36047034000,36047034000,340,423,23.2,139,46
1400000US36047034100,36047034100,341,506,9.1,237,7.2
1400000US36047034200,36047034200,342,1256,30,526,43.2
1400000US36047034300,36047034300,343,1206,31.3,785,39.9
1400000US36047034500,36047034500,345,535,32.5,279,49.1
1400000US36047034700,36047034700,347,780,33.1,392,59.2
1400000US36047034800,36047034800,348,578,29.9,291,41.2
1400000US36047034900,36047034900,349,1289,35,814,43.5
1400000US36047035000,36047035000,350,814,17.7,175,12.6
1400000US36047035100,36047035100,351,1082,30.7,680,36.8
1400000US36047035200,36047035200,352,52,50,4,0
1400000US36047035300,36047035300,353,1145,22.2,732,24.3
1400000US36047035400,36047035400,354,1537,3.4,355,0
1400000US36047035500,36047035500,355,1054,21.8,683,24.3
1400000US36047035601,36047035601,356.01,681,5.3,186,0
1400000US36047035602,36047035602,356.02,1308,9.3,277,0
1400000US36047035700,36047035700,357,554,54.7,380,64.2
1400000US36047035900,36047035900,359,1266,44.2,860,46.9
1400000US36047036001,36047036001,360.01,775,20.5,193,28
1400000US36047036002,36047036002,360.02,764,25.9,201,23.4
1400000US36047036100,36047036100,361,519,34.3,366,35.2
1400000US36047036200,36047036200,362,759,38.5,483,51.6
1400000US36047036300,36047036300,363,898,21.6,689,22.5
1400000US36047036400,36047036400,364,500,26,234,44
1400000US36047036501,36047036501,365.01,652,24.7,350,37.7
1400000US36047036502,36047036502,365.02,249,13.7,146,23.3
1400000US36047036600,36047036600,366,860,16.9,427,25.1
1400000US36047036700,36047036700,367,297,15.2,153,20.3
1400000US36047036900,36047036900,369,1148,39.5,846,47.2
1400000US36047037000,36047037000,370,1054,8.3,515,14
1400000US36047037100,36047037100,371,1242,20.7,581,26.9
1400000US36047037300,36047037300,373,1000,34.1,577,42.6
1400000US36047037401,36047037401,374.01,1100,7.7,329,14.6
1400000US36047037402,36047037402,374.02,1028,3.8,366,5.2
1400000US36047037500,36047037500,375,631,13.5,374,19.8
1400000US36047037700,36047037700,377,932,17.4,431,33.4
1400000US36047037900,36047037900,379,971,25.3,517,37.3
1400000US36047038100,36047038100,381,1166,40.5,700,52.1
1400000US36047038200,36047038200,382,1505,39,863,42.3
1400000US36047038300,36047038300,383,926,5.9,486,9.7
1400000US36047038500,36047038500,385,748,26.6,482,32.6
1400000US36047038600,36047038600,386,912,15.4,469,29.9
1400000US36047038700,36047038700,387,791,29.2,446,39.7
1400000US36047038800,36047038800,388,998,19.4,521,29.8
1400000US36047038900,36047038900,389,593,44,313,49.2
1400000US36047039000,36047039000,390,572,11.7,254,22.4
1400000US36047039100,36047039100,391,566,22.4,406,26.6
1400000US36047039200,36047039200,392,585,12.3,290,14.8
1400000US36047039300,36047039300,393,717,22,481,23.9
1400000US36047039400,36047039400,394,545,4.4,269,6.3
1400000US36047039500,36047039500,395,605,38,414,53.9
1400000US36047039600,36047039600,396,463,12.1,261,16.5
1400000US36047039700,36047039700,397,679,34.8,417,45.6
1400000US36047039800,36047039800,398,668,5.2,202,9.9
1400000US36047039900,36047039900,399,845,28.8,530,35.8
1400000US36047040000,36047040000,400,801,15.7,360,19.2
1400000US36047040100,36047040100,401,728,26.4,410,23.7
1400000US36047040200,36047040200,402,669,14.9,229,26.6
1400000US36047040300,36047040300,403,863,39.4,547,48.1
1400000US36047040400,36047040400,404,571,11.9,155,14.8
1400000US36047040500,36047040500,405,373,13.9,246,21.1
1400000US36047040600,36047040600,406,821,7.2,369,5.1
1400000US36047040700,36047040700,407,0,0,0,0
1400000US36047040800,36047040800,408,759,9.1,307,2
1400000US36047040900,36047040900,409,975,33.4,500,46.2
1400000US36047041000,36047041000,410,534,5.1,183,6.6
1400000US36047041100,36047041100,411,726,45.2,491,46.6
1400000US36047041200,36047041200,412,706,8.6,334,15.9
1400000US36047041300,36047041300,413,842,17.7,478,22.2
1400000US36047041401,36047041401,414.01,381,6.3,38,0
1400000US36047041402,36047041402,414.02,387,9.8,208,11.1
1400000US36047041500,36047041500,415,1078,17,658,20.5
1400000US36047041600,36047041600,416,647,18.5,358,31.3
1400000US36047041700,36047041700,417,869,29.1,588,28.9
1400000US36047041800,36047041800,418,377,13.5,169,7.1
1400000US36047041900,36047041900,419,880,30.3,586,38.1
1400000US36047042000,36047042000,420,426,18.5,280,24.6
1400000US36047042100,36047042100,421,740,20.9,303,28.1
1400000US36047042200,36047042200,422,771,10.1,308,8.8
1400000US36047042300,36047042300,423,834,27.1,565,29
1400000US36047042400,36047042400,424,847,10.3,289,24.2
1400000US36047042500,36047042500,425,534,16.3,327,26.6
1400000US36047042600,36047042600,426,1107,19.5,441,31.7
1400000US36047042700,36047042700,427,1083,41.2,755,52.3
1400000US36047042800,36047042800,428,1055,11.8,453,17.7
1400000US36047042900,36047042900,429,1379,32.1,876,39.3
1400000US36047043000,36047043000,430,813,13.7,235,13.2
1400000US36047043100,36047043100,431,1211,40.6,671,55.3
1400000US36047043200,36047043200,432,1167,13.1,574,17.2
1400000US36047043300,36047043300,433,1046,28.9,732,31.3
1400000US36047043400,36047043400,434,859,16.3,397,20.2
1400000US36047043500,36047043500,435,1158,29.7,817,36.6
1400000US36047043600,36047043600,436,1205,23.1,574,25.3
1400000US36047043700,36047043700,437,1197,25.8,682,43.3
1400000US36047043800,36047043800,438,654,15.1,277,30
1400000US36047043900,36047043900,439,928,20.5,534,24.3
1400000US36047044000,36047044000,440,640,18.3,342,24.3
1400000US36047044100,36047044100,441,1419,28.4,912,33.2
1400000US36047044200,36047044200,442,662,14,281,17.4
1400000US36047044300,36047044300,443,1304,25.6,799,36.3
1400000US36047044400,36047044400,444,740,16.8,326,14.7
1400000US36047044500,36047044500,445,1041,25.3,557,40.2
1400000US36047044600,36047044600,446,451,17.3,136,30.9
1400000US36047044700,36047044700,447,497,8.7,290,12.8
1400000US36047044800,36047044800,448,377,5,132,6.8
1400000US36047044900,36047044900,449,743,19.4,317,25.9
1400000US36047045000,36047045000,450,180,12.8,67,4.5
1400000US36047045200,36047045200,452,626,7.8,274,6.9
1400000US36047045300,36047045300,453,295,22.7,143,35
1400000US36047045400,36047045400,454,409,12.5,221,17.6
1400000US36047045600,36047045600,456,711,23.2,231,35.5
1400000US36047045800,36047045800,458,373,2.4,183,0
1400000US36047046000,36047046000,460,842,17.3,448,21.4
1400000US36047046201,36047046201,462.01,566,24.7,259,26.3
1400000US36047046202,36047046202,462.02,477,20.5,307,25.4
1400000US36047046400,36047046400,464,578,21.8,343,32.1
1400000US36047046800,36047046800,468,418,33.5,304,38.2
1400000US36047047000,36047047000,470,640,25.5,282,52.5
1400000US36047047200,36047047200,472,652,20.4,328,37.2
1400000US36047047400,36047047400,474,611,8.5,311,10.9
1400000US36047047600,36047047600,476,717,19.1,429,28.4
1400000US36047047700,36047047700,477,527,12.9,116,24.1
1400000US36047047800,36047047800,478,808,42.6,505,58.2
1400000US36047048000,36047048000,480,724,29.6,498,36.7
1400000US36047048100,36047048100,481,399,9.3,135,10.4
1400000US36047048200,36047048200,482,1254,32,648,52.6
1400000US36047048400,36047048400,484,1139,16.9,581,28.6
1400000US36047048500,36047048500,485,282,17.4,102,14.7
1400000US36047048600,36047048600,486,752,35.9,415,47.5
1400000US36047048800,36047048800,488,1077,32.4,540,45.4
1400000US36047048900,36047048900,489,966,34,508,45.3
1400000US36047049000,36047049000,490,1370,27.3,740,36.6
1400000US36047049100,36047049100,491,1515,17.4,576,31.4
1400000US36047049200,36047049200,492,688,26.7,404,34.4
1400000US36047049300,36047049300,493,1776,20.4,906,34.2
1400000US36047049400,36047049400,494,1189,19.6,547,28.3
1400000US36047049500,36047049500,495,583,11.1,263,4.2
1400000US36047049600,36047049600,496,890,12.7,583,18.2
1400000US36047049700,36047049700,497,397,6.8,78,21.8
1400000US36047049800,36047049800,498,917,20.4,491,36.5
1400000US36047049900,36047049900,499,347,0,98,0
1400000US36047050000,36047050000,500,783,8.7,511,11.9
1400000US36047050100,36047050100,501,572,8.9,283,14.1
1400000US36047050202,36047050202,502.02,522,2.1,226,0
1400000US36047050300,36047050300,503,350,12.9,199,8.5
1400000US36047050400,36047050400,504,1078,4.6,419,11.9
1400000US36047050500,36047050500,505,965,35.1,449,52.1
1400000US36047050600,36047050600,506,1154,22.4,709,26.1
1400000US36047050700,36047050700,507,418,54.3,364,58.5
1400000US36047050801,36047050801,508.01,953,24.8,540,22
1400000US36047050803,36047050803,508.03,443,21.9,230,36.1
1400000US36047050804,36047050804,508.04,1142,23.3,666,28.8
1400000US36047050900,36047050900,509,632,49.1,531,52.9
1400000US36047051001,36047051001,510.01,906,9.8,541,16.5
1400000US36047051002,36047051002,510.02,1155,18.2,641,25.7
1400000US36047051100,36047051100,511,843,26.7,373,44.2
1400000US36047051200,36047051200,512,1350,16.5,688,19.9
1400000US36047051300,36047051300,513,868,11.4,266,28.2
1400000US36047051400,36047051400,514,1641,17.8,1049,17
1400000US36047051500,36047051500,515,257,5.1,169,0
1400000US36047051601,36047051601,516.01,1258,29.1,608,35.7
