GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,All families  with  children under 18 ,Percent below poverty level; All families with children under 18 
1400000US36047049600,36047049600,496,959,15.8,517,16.6
1400000US36047049700,36047049700,497,376,3.2,63,0
1400000US36047049800,36047049800,498,947,13.3,451,27.9
1400000US36047049900,36047049900,499,286,7,115,0
1400000US36047050000,36047050000,500,824,17.6,501,26.9
1400000US36047050100,36047050100,501,477,3.6,208,8.2
1400000US36047050202,36047050202,502.02,551,0,261,0
1400000US36047050300,36047050300,503,459,14.8,120,34.2
1400000US36047050400,36047050400,504,1230,15.1,559,26.5
1400000US36047050500,36047050500,505,801,33.3,377,51.5
1400000US36047050600,36047050600,506,1499,27.8,1000,37.5
1400000US36047050700,36047050700,507,330,56.4,293,60.1
1400000US36047050801,36047050801,508.01,986,26.8,576,38.7
1400000US36047050803,36047050803,508.03,548,31.6,297,47.5
1400000US36047050804,36047050804,508.04,1423,17.7,776,21.8
1400000US36047050900,36047050900,509,621,58.3,536,64.4
1400000US36047051001,36047051001,510.01,893,22.6,638,22.1
1400000US36047051002,36047051002,510.02,820,20.9,358,32.4
1400000US36047051100,36047051100,511,987,30.8,475,45.3
1400000US36047051200,36047051200,512,1597,17.7,903,23.5
1400000US36047051300,36047051300,513,901,15.6,291,37.5
1400000US36047051400,36047051400,514,1877,21.4,1198,27
1400000US36047051500,36047051500,515,256,9.4,129,0
1400000US36047051601,36047051601,516.01,1441,31,794,36.5
1400000US36047051602,36047051602,516.02,895,15.1,409,23.7
1400000US36047051700,36047051700,517,322,8.1,68,38.2
1400000US36047051800,36047051800,518,773,16.8,330,12.4
1400000US36047051900,36047051900,519,413,10.7,117,0
1400000US36047052000,36047052000,520,911,19,537,31.1
1400000US36047052300,36047052300,523,1173,31.5,505,32.1
1400000US36047052500,36047052500,525,648,52.3,408,69.9
1400000US36047052600,36047052600,526,932,6.7,431,0
1400000US36047052700,36047052700,527,1396,32.1,837,43.1
1400000US36047052800,36047052800,528,435,13.6,245,16.3
1400000US36047052900,36047052900,529,759,45.7,583,54.2
1400000US36047053000,36047053000,530,738,16.7,369,26
1400000US36047053100,36047053100,531,1223,50,1006,55.9
1400000US36047053200,36047053200,532,613,14.5,220,30
1400000US36047053300,36047053300,533,1634,55.3,1225,60.9
1400000US36047053400,36047053400,534,802,25.4,469,27.9
1400000US36047053500,36047053500,535,908,42,669,53.4
1400000US36047053700,36047053700,537,670,45.5,520,56.5
1400000US36047053800,36047053800,538,1210,13.9,574,16.2
1400000US36047053900,36047053900,539,710,37.2,399,44.1
1400000US36047054200,36047054200,542,1004,18.1,466,14.4
1400000US36047054300,36047054300,543,0,0,0,0
1400000US36047054400,36047054400,544,973,3.3,361,3.9
1400000US36047054500,36047054500,545,1822,44.4,1164,47.4
1400000US36047054600,36047054600,546,1128,16,488,22.7
1400000US36047054700,36047054700,547,900,48.4,672,61.5
1400000US36047054800,36047054800,548,579,9.5,165,0
1400000US36047054900,36047054900,549,637,44.4,321,53.3
1400000US36047055000,36047055000,550,816,18.8,377,23.6
1400000US36047055100,36047055100,551,713,23.3,381,16.8
1400000US36047055200,36047055200,552,818,7.5,340,2.9
1400000US36047055300,36047055300,553,501,5.4,190,0
1400000US36047055400,36047055400,554,923,23.8,340,44.7
1400000US36047055500,36047055500,555,299,5.7,147,11.6
1400000US36047055600,36047055600,556,924,6.5,447,6
1400000US36047055700,36047055700,557,223,17.9,44,63.6
1400000US36047055800,36047055800,558,654,12.5,262,25.2
1400000US36047056000,36047056000,560,775,13,217,5.5
1400000US36047056100,36047056100,561,545,0,142,0
1400000US36047056200,36047056200,562,457,13.1,221,27.1
1400000US36047056300,36047056300,563,756,14.6,247,26.7
1400000US36047056400,36047056400,564,467,3.4,122,0
1400000US36047056500,36047056500,565,633,10.7,242,10.7
1400000US36047056600,36047056600,566,719,6.5,344,2.9
1400000US36047056800,36047056800,568,354,7.1,170,0
1400000US36047056900,36047056900,569,282,11,133,15.8
1400000US36047057000,36047057000,570,886,8.8,232,20.3
1400000US36047057100,36047057100,571,881,6.4,311,13.8
1400000US36047057200,36047057200,572,1354,45.1,811,49.1
1400000US36047057300,36047057300,573,450,5.3,87,1.1
1400000US36047057400,36047057400,574,751,8.7,288,22.6
1400000US36047057500,36047057500,575,771,9.2,369,13
1400000US36047057600,36047057600,576,842,7.8,306,18
1400000US36047057800,36047057800,578,878,15.1,454,12.1
1400000US36047057900,36047057900,579,276,21.7,90,30
1400000US36047058000,36047058000,580,805,15.4,497,8
1400000US36047058200,36047058200,582,567,5.1,294,5.8
1400000US36047058400,36047058400,584,898,17.6,328,15.2
1400000US36047058600,36047058600,586,584,28.1,251,36.7
1400000US36047058800,36047058800,588,912,16.3,388,17.8
1400000US36047058900,36047058900,589,449,6.9,210,0
1400000US36047059000,36047059000,590,450,8.7,155,15.5
1400000US36047059100,36047059100,591,796,9.2,364,17.3
1400000US36047059200,36047059200,592,1033,10.1,567,4.2
1400000US36047059300,36047059300,593,258,15.9,98,41.8
1400000US36047059401,36047059401,594.01,1774,4.5,666,7.2
1400000US36047059402,36047059402,594.02,1284,7.9,459,2.2
1400000US36047059600,36047059600,596,590,10.5,211,24.6
1400000US36047059800,36047059800,598,938,8.8,337,22.3
1400000US36047060000,36047060000,600,1673,4.7,860,6.9
1400000US36047060600,36047060600,606,818,6.1,214,0
1400000US36047060800,36047060800,608,708,9.2,230,17
1400000US36047061002,36047061002,610.02,1074,15.2,374,13.1
1400000US36047061003,36047061003,610.03,319,3.8,218,4.6
1400000US36047061004,36047061004,610.04,1372,16.3,438,7.1
1400000US36047061200,36047061200,612,318,15.1,118,18.6
1400000US36047061600,36047061600,616,386,8.8,187,10.7
1400000US36047062000,36047062000,620,532,9.6,208,0
1400000US36047062200,36047062200,622,655,3.7,247,7.7
1400000US36047062600,36047062600,626,669,2.5,228,4.4
1400000US36047062800,36047062800,628,1414,6.1,582,9.8
1400000US36047063200,36047063200,632,458,6.6,99,0
1400000US36047063600,36047063600,636,347,3.5,163,0
1400000US36047063800,36047063800,638,472,0,136,0
1400000US36047064000,36047064000,640,536,1.7,198,4.5
1400000US36047064200,36047064200,642,645,7.4,323,6.5
1400000US36047064400,36047064400,644,496,6.7,346,3.5
1400000US36047064600,36047064600,646,566,12.5,278,25.5
1400000US36047064800,36047064800,648,461,8.5,268,11.2
1400000US36047065000,36047065000,650,413,17.4,156,39.7
1400000US36047065200,36047065200,652,305,10.5,209,15.3
1400000US36047065400,36047065400,654,428,3,204,3.4
1400000US36047065600,36047065600,656,469,0,203,0
1400000US36047065800,36047065800,658,540,2.4,286,4.5
1400000US36047066000,36047066000,660,404,2.7,141,0
1400000US36047066200,36047066200,662,381,0,251,0
1400000US36047066600,36047066600,666,0,0,0,0
1400000US36047067000,36047067000,670,849,1.9,395,4.1
1400000US36047067200,36047067200,672,439,0,304,0
1400000US36047067400,36047067400,674,514,4.5,228,10.1
1400000US36047067600,36047067600,676,533,11.1,318,15.4
1400000US36047067800,36047067800,678,741,5.3,360,3.6
1400000US36047068000,36047068000,680,493,19.1,326,28.8
1400000US36047068200,36047068200,682,820,6.1,461,5.2
1400000US36047068600,36047068600,686,338,0,105,0
1400000US36047068800,36047068800,688,456,16.7,170,12.4
1400000US36047069000,36047069000,690,433,0,163,0
1400000US36047069200,36047069200,692,653,2,322,3.4
1400000US36047069601,36047069601,696.01,1147,8.6,723,13.7
1400000US36047069602,36047069602,696.02,1538,3.1,830,5.8
1400000US36047069800,36047069800,698,347,0,163,0
1400000US36047070000,36047070000,700,539,1.3,284,2.5
1400000US36047070201,36047070201,702.01,1982,4,928,7.3
1400000US36047070202,36047070202,702.02,27,100,27,100
1400000US36047070203,36047070203,702.03,0,0,0,0
1400000US36047070600,36047070600,706,814,2.6,216,3.2
1400000US36047072000,36047072000,720,551,15.4,339,25.1
1400000US36047072200,36047072200,722,930,3.5,404,2.5
1400000US36047072400,36047072400,724,477,0,246,0
1400000US36047072600,36047072600,726,653,0,308,0
1400000US36047072800,36047072800,728,1005,8.5,454,4.6
1400000US36047073000,36047073000,730,667,3.1,177,11.9
